date_key,date,year,quarter,month,month_name,week,day,day_of_week,is_weekend,is_holiday,fiscal_quarter,fiscal_period
69,2022-03-10,2022,1,3,March,10,10,Thursday,False,False,1,2022-Q1
70,2022-03-11,2022,1,3,March,10,11,Friday,False,False,1,2022-Q1
71,2022-03-12,2022,1,3,March,10,12,Saturday,True,False,1,2022-Q1
72,2022-03-13,2022,1,3,March,10,13,Sunday,True,False,1,2022-Q1
73,2022-03-14,2022,1,3,March,11,14,Monday,False,False,1,2022-Q1
74,2022-03-15,2022,1,3,March,11,15,Tuesday,False,False,1,2022-Q1
75,2022-03-16,2022,1,3,March,11,16,Wednesday,False,False,1,2022-Q1
76,2022-03-17,2022,1,3,March,11,17,Thursday,False,False,1,2022-Q1
77,2022-03-18,2022,1,3,March,11,18,Friday,False,False,1,2022-Q1
78,2022-03-19,2022,1,3,March,11,19,Saturday,True,False,1,2022-Q1
79,2022-03-20,2022,1,3,March,11,20,Sunday,True,False,1,2022-Q1
80,2022-03-21,2022,1,3,March,12,21,Monday,False,False,1,2022-Q1
81,2022-03-22,2022,1,3,March,12,22,Tuesday,False,False,1,2022-Q1
82,2022-03-23,2022,1,3,March,12,23,Wednesday,False,False,1,2022-Q1
83,2022-03-24,2022,1,3,March,12,24,Thursday,False,False,1,2022-Q1
84,2022-03-25,2022,1,3,March,12,25,Friday,False,False,1,2022-Q1
85,2022-03-26,2022,1,3,March,12,26,Saturday,True,False,1,2022-Q1
86,2022-03-27,2022,1,3,March,12,27,Sunday,True,False,1,2022-Q1
87,2022-03-28,2022,1,3,March,13,28,Monday,False,False,1,2022-Q1
88,2022-03-29,2022,1,3,March,13,29,Tuesday,False,False,1,2022-Q1
89,2022-03-30,2022,1,3,March,13,30,Wednesday,False,False,1,2022-Q1
90,2022-03-31,2022,1,3,March,13,31,Thursday,False,False,1,2022-Q1
91,2022-04-01,2022,2,4,April,13,1,Friday,False,False,2,2022-Q2
92,2022-04-02,2022,2,4,April,13,2,Saturday,True,False,2,2022-Q2
93,2022-04-03,2022,2,4,April,13,3,Sunday,True,False,2,2022-Q2
94,2022-04-04,2022,2,4,April,14,4,Monday,False,False,2,2022-Q2
95,2022-04-05,2022,2,4,April,14,5,Tuesday,False,False,2,2022-Q2
96,2022-04-06,2022,2,4,April,14,6,Wednesday,False,False,2,2022-Q2
97,2022-04-07,2022,2,4,April,14,7,Thursday,False,False,2,2022-Q2
98,2022-04-08,2022,2,4,April,14,8,Friday,False,False,2,2022-Q2
99,2022-04-09,2022,2,4,April,14,9,Saturday,True,False,2,2022-Q2
100,2022-04-10,2022,2,4,April,14,10,Sunday,True,False,2,2022-Q2
101,2022-04-11,2022,2,4,April,15,11,Monday,False,False,2,2022-Q2
102,2022-04-12,2022,2,4,April,15,12,Tuesday,False,False,2,2022-Q2
103,2022-04-13,2022,2,4,April,15,13,Wednesday,False,False,2,2022-Q2
104,2022-04-14,2022,2,4,April,15,14,Thursday,False,False,2,2022-Q2
105,2022-04-15,2022,2,4,April,15,15,Friday,False,False,2,2022-Q2
106,2022-04-16,2022,2,4,April,15,16,Saturday,True,False,2,2022-Q2
107,2022-04-17,2022,2,4,April,15,17,Sunday,True,False,2,2022-Q2
108,2022-04-18,2022,2,4,April,16,18,Monday,False,False,2,2022-Q2
109,2022-04-19,2022,2,4,April,16,19,Tuesday,False,False,2,2022-Q2
110,2022-04-20,2022,2,4,April,16,20,Wednesday,False,False,2,2022-Q2
111,2022-04-21,2022,2,4,April,16,21,Thursday,False,False,2,2022-Q2
112,2022-04-22,2022,2,4,April,16,22,Friday,False,False,2,2022-Q2
113,2022-04-23,2022,2,4,April,16,23,Saturday,True,False,2,2022-Q2
114,2022-04-24,2022,2,4,April,16,24,Sunday,True,False,2,2022-Q2
115,2022-04-25,2022,2,4,April,17,25,Monday,False,False,2,2022-Q2
116,2022-04-26,2022,2,4,April,17,26,Tuesday,False,False,2,2022-Q2
117,2022-04-27,2022,2,4,April,17,27,Wednesday,False,False,2,2022-Q2
118,2022-04-28,2022,2,4,April,17,28,Thursday,False,False,2,2022-Q2
119,2022-04-29,2022,2,4,April,17,29,Friday,False,False,2,2022-Q2
120,2022-04-30,2022,2,4,April,17,30,Saturday,True,False,2,2022-Q2
121,2022-05-01,2022,2,5,May,17,1,Sunday,True,False,2,2022-Q2
122,2022-05-02,2022,2,5,May,18,2,Monday,False,False,2,2022-Q2
123,2022-05-03,2022,2,5,May,18,3,Tuesday,False,False,2,2022-Q2
